,east_comp,north_comp,verti_comp,Time
521,0.005954691,-0.000897324,-0.005410212,10.42
522,0.001178465,0.000861183,-0.007511264,10.44
523,0.007000985,0.001355218,-0.004148897,10.46
524,0.01288272,0.001170129,-0.006135514,10.48
525,0.008190641,0.0032958,-0.003787768,10.5
526,-0.008587886,0.002515936,0.000223955,10.52
527,-0.010719132,0.002508724,-0.003197787,10.54
528,-0.002241032,0.005092263,-0.001471923,10.56
529,-0.000950481,0.00327122,-0.001164374,10.58
530,-0.003062032,-0.000629726,0.00130834,10.6
531,-0.005104359,-0.00663158,-0.001807598,10.62
532,0.000245815,-0.01292227,-1.31e-05,10.64
533,-0.001765932,-0.014923419,0.002909501,10.66
534,-0.004108432,-0.011478509,0.002154793,10.68
535,-0.001996649,-0.00725472,-0.00013948,10.7
536,0.00449352,-0.001789669,0.003569079,10.72
537,0.004561802,0.00195806,0.00988435,10.74
538,0.004693306,0.004751225,-0.000310919,10.76
539,0.003894931,0.00427384,-0.011957218,10.78
540,0.005163589,0.002040721,-0.011718257,10.8
541,0.003932455,0.003204603,-0.00100527,10.82
542,-0.000542732,0.006640155,-0.000808962,10.84
543,-0.003151554,0.008216504,0.00259413,10.86
544,0.002094843,0.005903822,0.004305372,10.88
545,0.002478693,0.004939968,0.004368056,10.9
546,-0.001134991,0.003367302,-0.000166332,10.92
547,-0.00295483,-0.00493407,-0.006257198,10.94
548,-0.005094383,-0.013164863,0.002650041,10.96
549,-0.001671637,-0.008024488,0.002353469,10.98
550,0.00377759,-0.002740745,-0.000377414,11
551,0.004884057,-0.005166419,0.001759136,11.02
552,0.005474543,0.000104416,0.004985705,11.04
553,0.002418532,0.007233998,0.001131162,11.06
554,0.002366501,-0.000620117,-0.004451193,11.08
555,0.011055905,-0.004003529,-0.000849485,11.1
556,0.001280375,0.007232536,0.003460419,11.12
557,-0.012286896,0.014430465,-0.002852997,11.14
558,-0.005980291,0.005469256,-0.003315453,11.16
559,0.000316601,-0.00221993,0.000864289,11.18
560,0.004189279,-0.003229861,0.002790016,11.2
561,0.006206292,-0.006198333,-0.006503398,11.22
562,0.000180111,-0.002496427,-0.006545751,11.24
563,-0.00425401,-0.000705175,-0.003226919,11.26
564,-0.000890653,-0.000354742,0.008102425,11.28
565,0.002018398,-0.001507914,0.00844751,11.3
566,0.006208017,-0.001242136,-0.001046656,11.32
567,0.00631434,0.00251406,-8.32e-05,11.34
568,-0.001126506,0.003948668,0.001739174,11.36
569,-0.001855698,0.007996335,0.001618719,11.38
570,0.004098272,0.004394203,-0.001884601,11.4
571,0.007748338,-0.00565199,0.001371454,11.42
572,0.000162439,-0.006730914,-0.001298308,11.44
573,-0.002474097,-0.001252029,0.000467934,11.46
574,-0.002474155,0.003804866,0.002524624,11.48
575,-0.010450453,0.006968263,-0.005573976,11.5
576,-0.01237236,0.007529657,-0.005450364,11.52
577,-0.006354264,0.002665233,0.004440522,11.54
578,-0.008683659,-0.005982925,0.001881193,11.56
579,-0.005008919,-0.009307299,0.003524077,11.58
580,0.000389457,-0.008106784,-0.001141501,11.6
581,-0.001565898,-0.006266846,-0.00882158,11.62
582,0.001004103,-0.003283109,0.004535838,11.64
583,0.010926556,0.001246524,0.007610176,11.66
584,0.007635907,-0.00243638,-0.004308657,11.68
585,0.006127919,-0.006989974,-0.010835782,11.7
586,0.01091651,-0.004991941,-0.000908101,11.72
587,0.004980493,-0.00349245,0.008150402,11.74
588,0.001322407,0.00181832,0.010518652,11.76
589,-0.006176958,0.005995515,0.007250496,11.78
590,-0.008561912,0.004654503,-0.001519762,11.8
591,-0.001825229,0.006546766,-0.002204422,11.82
592,-0.003314152,0.006291598,0.000156457,11.84
593,-0.00490881,0.00618088,0.001188371,11.86
594,0.00028694,0.004137414,-0.006069911,11.88
595,0.001730997,-0.002786446,-8.48e-05,11.9
596,0.000212078,-0.004570331,0.003989471,11.92
597,0.006676108,-0.00145184,0.004767625,11.94
598,0.011232814,0.001560088,0.007473353,11.96
599,0.005785495,0.003087981,0.002443687,11.98
600,-0.002937058,0.000835816,-0.00542079,12
601,-0.002892293,-5.11e-05,-0.003006249,12.02
602,-0.001051581,-0.001228455,-0.004305857,12.04
603,-0.002848702,-0.002361379,0.000772819,12.06
604,-0.002560864,0.00112198,0.003710697,12.08
605,0.002686404,0.007157312,0.002708234,12.1
606,0.002848136,0.008957699,0.002972025,12.12
607,-0.00128011,0.005092462,0.004161356,12.14
608,-0.002470231,0.001681127,0.000734171,12.16
609,-0.004965326,0.001717535,-0.006626233,12.18
610,-0.006136947,0.003693013,-0.006129841,12.2
611,-0.000154895,0.005057188,0.001933719,12.22
612,0.008156888,0.003452225,0.000463952,12.24
613,0.004244954,0.000695272,-0.005798627,12.26
614,0.001064157,0.000454128,-0.00661275,12.28
615,-0.00509065,-0.002139858,0.00456373,12.3
616,-0.006212361,-0.005826933,0.010121995,12.32
617,0.003793662,-0.004771197,0.003333244,12.34
618,0.003906187,5.93e-05,-0.005801867,12.36
619,0.001251607,0.002400225,-0.0024857,12.38
620,0.000848377,-5.42e-05,-0.000760237,12.4
621,0.006125211,-0.007884215,-0.005693396,12.42
622,0.005081829,-0.01420717,-0.004609384,12.44
623,-0.00470679,-0.014008944,0.000396031,12.46
624,-0.00064701,-0.00736618,0.00096944,12.48
625,-0.00050678,-0.001295953,-0.00365155,12.5
626,-0.00380831,0.003456253,-0.000298847,12.52
627,0.001677726,0.003506641,-0.001016928,12.54
628,0.001270741,-0.000423626,0.000664835,12.56
629,0.000707717,-0.001159809,-0.000583349,12.58
630,0.003226004,0.001104283,0.004611289,12.6
631,0.002172429,0.003702749,0.001266589,12.62
632,0.003302821,0.006403959,0.003613433,12.64
633,-0.00168468,0.0027779,-0.006382887,12.66
634,-0.000201233,0.001924529,0.001508126,12.68
635,0.001651537,0.004105136,-0.001100863,12.7
636,0.000280812,0.004931109,-0.004371164,12.72
637,-0.004162894,0.00515525,0.007334965,12.74
638,-0.003253925,0.005947837,0.015696062,12.76
639,-0.004279645,1.63e-05,0.004652366,12.78
640,-0.006411469,-0.012791155,-0.002276303,12.8
641,-0.000357092,-0.016178421,0.000756793,12.82
642,0.006255638,-0.014107997,-0.005993513,12.84
643,0.003835636,-0.009380041,-0.003270212,12.86
644,-0.004882974,-0.001689131,0.00118729,12.88
645,0.000644699,-0.001082431,0.004930995,12.9
646,0.004682701,0.005963173,0.003992945,12.92
647,0.003630572,0.010046557,-0.000452528,12.94
648,-0.001717149,0.006728468,-0.004872072,12.96
649,0.003188262,0.017224577,-0.005856326,12.98
650,0.001596538,0.024633558,-0.010292417,13
651,-0.011468549,0.011642732,-0.003951141,13.02
652,-0.01021177,-0.001579172,0.001148166,13.04
653,-0.005460157,-0.007628261,-0.00096851,13.06
654,-0.003759384,-0.016653789,0.002888378,13.08
655,-0.002959984,-0.022975525,0.002402683,13.1
656,0.006891364,-0.02077303,0.002744259,13.12
657,0.004825064,-0.010151201,-0.002926662,13.14
658,-0.006187415,-0.009054208,-0.004919218,13.16
659,0.00838353,-0.012886399,0.008699627,13.18
660,0.025594369,-0.01599475,0.012945786,13.2
661,0.027752273,-0.011154879,0.003281963,13.22
662,0.020924621,-0.001322971,-0.003454691,13.24
663,-0.001566684,0.005465072,-0.000719865,13.26
664,-0.017478535,0.011518087,-0.01106995,13.28
665,-0.007044423,0.007362001,-0.010666215,13.3
666,-0.003669384,0.008558644,-0.014132369,13.32
667,-0.012138863,0.022895328,-0.016044876,13.34
668,-0.010683793,0.011244164,-0.006993443,13.36
669,-0.010911965,0.011166446,-0.005134371,13.38
670,-0.009235918,0.012183254,0.013325074,13.4
671,-0.000132728,-0.004798503,0.029261236,13.42
672,-0.003278675,0.003373114,0.016020804,13.44
673,-0.012713691,0.018486825,0.000626004,13.46
674,-0.013797335,0.004725864,0.002651349,13.48
